fbpzoningmodcat,modcat_id,FREQUENCY,SUM_ACRES,manual_county,zone,juris,gg_id,tra_id,sesit_id,ppa_id,exp2020_id,exsfd_id,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,notes,res_rent_cat,job_out_cat
saratogaNANAHRADISNAoutNA,1949,1,44.02867985,85,489,saratoga,NA,NA,HRADIS,NA,out,NA,,,,,0,0,,,,
saratogaNANAHRADISNAoutsfd,1950,1,5.965947401,85,489,saratoga,NA,NA,HRADIS,NA,out,sfd,,,,,0,0,,,,
saratogaNANAHRANAinNA,1951,303,278.1039362,85,496,saratoga,NA,NA,HRA,NA,in,NA,,,,,,,,,,
saratogaNANAHRANAinsfd,1952,561,563.0316176,85,496,saratoga,NA,NA,HRA,NA,in,sfd,,,,,,,,,,
saratogaNANAHRANAoutNA,1953,4,2.963368868,85,496,saratoga,NA,NA,HRA,NA,out,NA,,,,,0,0,,,,
saratogaNANAHRANAoutsfd,1954,8,9.679185085,85,496,saratoga,NA,NA,HRA,NA,out,sfd,,,,,0,0,,,,
saratogaNAtra3HRADISNAinNA,1955,72,193.3002249,85,494,saratoga,NA,tra3,HRADIS,NA,in,NA,,,,,,,,,,
saratogaNAtra3HRADISNAinsfd,1956,227,168.8954077,85,497,saratoga,NA,tra3,HRADIS,NA,in,sfd,,,,,,,,,,
saratogaNAtra3HRANAinNA,1957,1,6.711687411,85,498,saratoga,NA,tra3,HRA,NA,in,NA,,,,,,,,,,
saratogaNAtra3HRANAinsfd,1958,5,0.971113759,85,498,saratoga,NA,tra3,HRA,NA,in,sfd,,,,,,,,,,
sausalitoGGtra3HRANAinNA,1959,345,53.66865951,41,1448,sausalito,GG,tra3,HRA,NA,in,NA,HM,,50,2.5,,,,,,
sausalitoGGtra3HRANAinsfd,1960,377,50.58728715,41,1448,sausalito,GG,tra3,HRA,NA,in,sfd,HM,,50,2,,,,,,
sausalitoGGtra3HRANAoutNA,1961,2,2.804419988,41,1448,sausalito,GG,tra3,HRA,NA,out,NA,,,,,0,0,,,,
sausalitoGGtra3NANAinNA,1962,2,2.217398448,41,1448,sausalito,GG,tra3,NA,NA,in,NA,HM,,35,2,,,,,,
sausalitoGGtra3NANAinsfd,1963,1,0.05758431,41,1448,sausalito,GG,tra3,NA,NA,in,sfd,HM,,35,2,,,,,,
sausalitoGGtra3NANAoutNA,1964,1,0.512545197,41,1448,sausalito,GG,tra3,NA,NA,out,NA,,,,,0,0,,,,
sausalitoNANANANAinNA,1965,1,163.6935669,41,1453,sausalito,NA,NA,NA,NA,in,NA,,,,,,,,,,
sausalitoNAtra3HRADISNAinsfd,1966,1,0.003404343,41,1448,sausalito,NA,tra3,HRADIS,NA,in,sfd,,,,,,,,,,
sausalitoNAtra3HRANAinNA,1967,970,342.4974817,41,1448,sausalito,NA,tra3,HRA,NA,in,NA,,,,,,,,,,
sausalitoNAtra3HRANAinsfd,1968,1568,145.302021,41,1448,sausalito,NA,tra3,HRA,NA,in,sfd,,,,,,,,,,
sausalitoNAtra3HRANAoutNA,1969,18,44.53954355,41,1448,sausalito,NA,tra3,HRA,NA,out,NA,,,,,0,0,,,,
sausalitoNAtra3HRANAoutsfd,1970,15,0.197313603,41,1448,sausalito,NA,tra3,HRA,NA,out,sfd,,,,,0,0,,,,
sausalitoNAtra3NANAinNA,1971,7,2.213214973,41,1448,sausalito,NA,tra3,NA,NA,in,NA,,,,,,,,,,
sausalitoNAtra3NANAinsfd,1972,9,1.106924728,41,1448,sausalito,NA,tra3,NA,NA,in,sfd,,,,,,,,,,
sausalitoNAtra3NANAoutNA,1973,2,0.22631408,41,1448,sausalito,NA,tra3,NA,NA,out,NA,,,,,0,0,,,,
sausalitoNAtra3NANAoutsfd,1974,5,0.142030473,41,1448,sausalito,NA,tra3,NA,NA,out,sfd,,,,,0,0,,,,
sebastopolGGNADISNAinNA,1975,1,2.472641499,97,1382,sebastopol,GG,NA,DIS,NA,in,NA,,,25,1.5,,,,,,
sebastopolGGNAHRADISNAinNA,1976,13,22.70943467,97,1386,sebastopol,GG,NA,HRADIS,NA,in,NA,HM,,35,1,,,,,,
sebastopolGGNAHRADISNAinsfd,1977,9,4.557435308,97,1385,sebastopol,GG,NA,HRADIS,NA,in,sfd,HM,,35,1,,,,,,
sebastopolGGNAHRANAinNA,1978,683,404.6295495,97,1384,sebastopol,GG,NA,HRA,NA,in,NA,HM,,35,1,,,,,,
sebastopolGGNAHRANAinsfd,1979,818,158.8809185,97,1384,sebastopol,GG,NA,HRA,NA,in,sfd,HM,,35,1,,,,,,
sebastopolGGNANANAinNA,1980,2,5.599878342,97,1382,sebastopol,GG,NA,NA,NA,in,NA,,,25,1.5,,,,,,
sebastopolNANADISNAinNA,1981,2,59.88239455,97,1382,sebastopol,NA,NA,DIS,NA,in,NA,,,,,,,,,,
sebastopolNANAHRADISNAexp1NA,1982,1,3.439384115,97,1385,sebastopol,NA,NA,HRADIS,NA,exp1,NA,,,,,0,0,,,,
sebastopolNANAHRADISNAinNA,1983,87,52.54516499,97,1385,sebastopol,NA,NA,HRADIS,NA,in,NA,,,,,,,,,,
sebastopolNANAHRADISNAinsfd,1984,299,93.61617394,97,1385,sebastopol,NA,NA,HRADIS,NA,in,sfd,,,,,,,,,,
sebastopolNANAHRANAexp1sfd,1985,1,0.502087543,97,1384,sebastopol,NA,NA,HRA,NA,exp1,sfd,,,,,0,0,,,,
sebastopolNANAHRANAinNA,1986,170,70.79305332,97,1384,sebastopol,NA,NA,HRA,NA,in,NA,,,,,,,,,,
sebastopolNANAHRANAinsfd,1987,574,130.6531632,97,1384,sebastopol,NA,NA,HRA,NA,in,sfd,,,,,,,,,,
sonomaNANADISNAexp1NA,1988,1,2.338243829,97,1324,sonoma,NA,NA,DIS,NA,exp1,NA,,,,,0,0,,,,
sonomaNANADISNAinNA,1989,1265,769.6029429,97,1323,sonoma,NA,NA,DIS,NA,in,NA,,,,,,,,,,
sonomaNANADISNAinsfd,1990,1346,279.0869605,97,1320,sonoma,NA,NA,DIS,NA,in,sfd,,,,,,,,,,
sonomaNANADISNAoutNA,1991,2,1.408203948,97,1324,sonoma,NA,NA,DIS,NA,out,NA,,,,,0,0,,,,
sonomaNANAHRADISNAinNA,1992,19,26.41002973,97,1320,sonoma,NA,NA,HRADIS,NA,in,NA,,,,,,,,,,
sonomaNANAHRADISNAinsfd,1993,35,9.364476039,97,1320,sonoma,NA,NA,HRADIS,NA,in,sfd,,,,,,,,,,
sonomaNANANANAinNA,1994,866,220.6751665,97,1323,sonoma,NA,NA,NA,NA,in,NA,,,,,,,,,,
sonomaNANANANAinsfd,1995,697,150.6999991,97,1323,sonoma,NA,NA,NA,NA,in,sfd,,,,,,,,,,
sonomaNANANANAoutNA,1996,1,6.17250273,97,1323,sonoma,NA,NA,NA,NA,out,NA,,,,,0,0,,,,
south_san_franciscoGGNADISNAinsfd,1997,2,0.328728338,81,231,south_san_francisco,GG,NA,DIS,NA,in,sfd,,,25,1.5,,,,,,
south_san_franciscoGGNAHRADISNAinNA,1998,513,238.6148272,81,230,south_san_francisco,GG,NA,HRADIS,NA,in,NA,HM,,35,1,,,,,,
south_san_franciscoGGNAHRADISNAinsfd,1999,2357,243.7862308,81,231,south_san_francisco,GG,NA,HRADIS,NA,in,sfd,HM,,35,1,,,,,,
south_san_franciscoGGNANANAinNA,2000,11,15.08605845,81,214,south_san_francisco,GG,NA,NA,NA,in,NA,,,25,1.5,,,,,,
south_san_franciscoGGNANANAinsfd,2001,467,71.37939529,81,214,south_san_francisco,GG,NA,NA,NA,in,sfd,,,25,1.5,,,,,,
south_san_franciscoGGtra1DISNAinNA,2002,9,10.29493741,81,217,south_san_francisco,GG,tra1,DIS,NA,in,NA,HM,,150,5,,,,,,
south_san_franciscoGGtra1DISNAinsfd,2003,115,16.08183219,81,217,south_san_francisco,GG,tra1,DIS,NA,in,sfd,HM,,50,2,,,,,,
south_san_franciscoGGtra1NANAinNA,2004,169,319.6063335,81,215,south_san_francisco,GG,tra1,NA,NA,in,NA,HM,,150,5,,,,,,
south_san_franciscoGGtra1NANAinsfd,2005,1052,118.6918511,81,216,south_san_francisco,GG,tra1,NA,NA,in,sfd,HM,,50,2,,,,,,
south_san_franciscoGGtra2bDISNAinNA,2006,26,3.710037699,81,209,south_san_francisco,GG,tra2b,DIS,NA,in,NA,HM,,40,2,,,,,,
south_san_franciscoGGtra2bDISNAinsfd,2007,88,9.644444584,81,209,south_san_francisco,GG,tra2b,DIS,NA,in,sfd,HM,,35,1.5,,,,,,
south_san_franciscoGGtra2bNANAinNA,2008,790,357.647687,81,211,south_san_francisco,GG,tra2b,NA,NA,in,NA,HM,,40,2,,,,,,
south_san_franciscoGGtra2bNANAinsfd,2009,116,10.67404144,81,210,south_san_francisco,GG,tra2b,NA,NA,in,sfd,HM,,35,1.5,,,,,,
south_san_franciscoGGtra3DISNAinNA,2010,13,4.164004898,81,209,south_san_francisco,GG,tra3,DIS,NA,in,NA,HM,,35,2,,,,,,
south_san_franciscoGGtra3DISNAinsfd,2011,304,37.18502488,81,217,south_san_francisco,GG,tra3,DIS,NA,in,sfd,HM,,35,2,,,,,,
south_san_franciscoGGtra3NANAinNA,2012,444,462.0444778,81,213,south_san_francisco,GG,tra3,NA,NA,in,NA,HM,,35,2,,,,,,
