"taz","walk_subzone","walk_subzone_label","incQ","incQ_label","autoSuff","autoSuff_label","hasAV","num_persons","num_workers","num_workers_students"
21,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,1671,268,393
21,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,27,9,18
21,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,877,107,154
21,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,307,192,212
21,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,68,68,68
21,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,175,56,84
21,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,226,178,188
21,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,47,39,41
21,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,125,84,96
21,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,637,494,525
21,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,401,331,366
21,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,320,160,193
22,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,194,78,95
22,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,36,14,23
22,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,192,41,66
22,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,165,122,125
22,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,35,21,25
22,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,180,98,104
22,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,148,105,114
22,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,31,21,26
22,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,214,141,151
22,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,277,197,200
22,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,68,63,63
22,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,287,179,184
23,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,107,33,52
23,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,25,9,14
23,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,204,52,88
23,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,12,10,10
23,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,9,4,7
23,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,39,15,23
23,1,"Short-walk to transit",3,"highInc",0,"0_autos",0,10,8,10
23,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,11,6,9
23,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,37,22,29
23,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,92,60,68
23,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,78,59,64
23,1,"Short-walk to transit",4,"veryHighInc",2,"autos_ge_workers",0,275,127,166
24,1,"Short-walk to transit",1,"lowInc",0,"0_autos",0,207,116,131
24,1,"Short-walk to transit",1,"lowInc",1,"autos_lt_workers",0,65,56,64
24,1,"Short-walk to transit",1,"lowInc",2,"autos_ge_workers",0,148,52,64
24,1,"Short-walk to transit",2,"medInc",0,"0_autos",0,34,30,31
24,1,"Short-walk to transit",2,"medInc",1,"autos_lt_workers",0,19,15,17
24,1,"Short-walk to transit",2,"medInc",2,"autos_ge_workers",0,11,8,8
24,1,"Short-walk to transit",3,"highInc",1,"autos_lt_workers",0,24,15,18
24,1,"Short-walk to transit",3,"highInc",2,"autos_ge_workers",0,1,1,1
24,1,"Short-walk to transit",4,"veryHighInc",0,"0_autos",0,2,2,2
24,1,"Short-walk to transit",4,"veryHighInc",1,"autos_lt_workers",0,9,9,9
