taz,autoPeakRetail,autoPeakTotal,autoOffPeakRetail,autoOffPeakTotal,transitPeakRetail,transitPeakTotal,transitOffPeakRetail,transitOffPeakTotal,nonMotorizedRetail,nonMotorizedTotal
     550,        10.1069,        12.6415,        10.2351,        12.7866,         4.8151,         8.0229,         4.7118,         7.9316,         5.4638,         8.4840
     551,        10.0454,        12.5506,        10.2318,        12.7722,         5.2879,         8.4005,         5.1797,         8.3052,         4.9099,         7.6034
     552,        10.0177,        12.4821,        10.2121,        12.7167,         4.1825,         7.0294,         3.7806,         6.6135,         4.3086,         6.4455
     553,         9.9362,        12.4217,        10.1355,        12.6587,         3.6578,         6.5941,         3.4699,         6.4700,         3.9979,         6.1816
     554,        10.0892,        12.6055,        10.2219,        12.7528,         5.2948,         8.4994,         5.1487,         8.3972,         5.4499,         8.5047
     555,        10.1416,        12.5925,        10.2738,        12.7482,         4.0330,         7.0267,         3.6167,         6.5860,         5.5810,         8.4912
     556,        10.1466,        12.6241,        10.2603,        12.7483,         4.7196,         7.8902,         4.4937,         7.6431,         5.5292,         8.8760
     557,        10.1092,        12.6433,        10.2166,        12.7613,         5.5128,         8.8018,         5.3767,         8.6911,         5.6146,         9.2822
     558,        10.1689,        12.6914,        10.2831,        12.8305,         5.7457,         8.7214,         5.6072,         8.5645,         5.6374,         9.5999
     559,        10.1238,        12.5765,        10.2438,        12.7248,         4.6230,         7.2940,         4.6965,         7.3309,         5.1545,         7.9715
     560,        10.1218,        12.5835,        10.2397,        12.7308,         4.7428,         7.6304,         4.6141,         7.4067,         5.1161,         8.7188
     561,        10.1289,        12.5549,        10.2689,        12.7321,         5.2415,         7.8541,         5.1794,         7.6526,         5.6571,         8.2009
     562,        10.0915,        12.5042,        10.2047,        12.6592,         4.8692,         7.3261,         4.9107,         7.2961,         5.4993,         8.0413
     563,        10.0044,        12.4037,        10.1223,        12.5566,         4.8575,         7.7883,         4.5164,         7.3888,         5.9235,         8.6346
     564,         9.9487,        12.2741,        10.1203,        12.5289,         3.2628,         6.0088,         3.2057,         5.9739,         5.4193,         6.8860
     565,         9.8110,        12.0667,         9.9915,        12.3493,         2.6929,         4.7636,         2.5572,         4.5727,         5.1936,         6.4866
     566,         9.7977,        12.1357,         9.9364,        12.3310,         4.5166,         7.2796,         4.1550,         6.8951,         4.4820,         6.1006
     567,         9.8877,        12.2197,        10.0245,        12.4113,         3.9896,         6.6997,         3.6597,         6.3254,         4.1190,         6.4756
     568,         9.8349,        12.1075,        10.0112,        12.3801,         4.4272,         6.8707,         4.1703,         6.5396,         4.1990,         6.2043
     569,         9.8135,        12.0952,         9.9885,        12.3628,         4.8602,         7.1201,         4.6535,         6.8265,         4.1748,         5.9481
     570,         9.8033,        12.0537,         9.9943,        12.3391,         4.3977,         6.7301,         4.1583,         6.4306,         4.0640,         5.4199
     571,         9.6277,        11.9074,         9.8000,        12.1718,         3.3476,         5.5251,         3.1577,         5.2410,         3.1065,         5.2872
     572,         9.7771,        12.0705,         9.9770,        12.3699,         3.6897,         5.8818,         3.3210,         5.3883,         3.7080,         5.7164
     573,         9.8351,        12.1308,        10.0544,        12.4525,         3.8081,         5.8323,         3.6395,         5.5866,         3.7719,         5.6266
     574,         9.9092,        12.2312,        10.0553,        12.4398,         4.1480,         6.7479,         3.6517,         6.2129,         4.1595,         6.2988
     575,         9.8188,        12.1252,        10.0094,        12.4059,         3.4300,         5.6684,         3.1560,         5.2387,         3.6740,         5.7689
     576,         9.9045,        12.2609,        10.0830,        12.5194,         3.4136,         5.8339,         3.0697,         5.3730,         3.6605,         5.1780
     577,         9.9440,        12.3276,        10.1191,        12.5712,         3.8299,         6.5052,         3.3326,         5.9393,         5.0347,         6.5667
     578,         9.9659,        12.3434,        10.1273,        12.5733,         3.5073,         6.1855,         3.0197,         5.6235,         5.3297,         6.8156
     579,        10.0222,        12.4287,        10.1870,        12.6556,         4.4820,         6.8149,         4.5164,         6.7546,         5.3908,         7.6755
