serialno,puma1,asian,black,hisp,white
2502127,40,0,0,1,0
2508140,40,0,0,1,1
2508614,40,0,0,0,1
2509441,40,0,0,0,1
2512938,40,0,0,0,0
2513808,40,0,0,0,1
2516358,40,0,0,0,1
2520295,40,0,0,0,1
2520689,40,0,0,0,1
2525766,40,0,0,0,1
2526219,40,0,0,0,1
2530660,40,0,0,0,1
2530773,40,0,0,0,1
2534851,40,0,0,0,1
2535162,40,0,0,0,1
2537340,40,0,0,0,1
2539952,40,0,0,0,1
2548950,40,0,0,0,1
2549149,40,0,0,0,1
2549556,40,0,0,0,1
2552940,40,0,0,0,1
2555322,40,0,0,0,1
2557386,40,0,0,0,1
2558753,40,0,0,0,1
2559791,40,0,0,0,1
2564480,40,0,0,0,1
2566023,40,0,0,0,1
2570592,40,0,0,0,1
2572451,40,1,0,1,0
2573748,40,0,0,0,1
2576982,40,0,0,0,1
2583344,40,0,0,1,0
2584442,40,0,0,0,1
2585704,40,0,0,0,1
2586580,40,0,0,0,1
2589252,40,0,0,0,1
2590721,40,0,0,0,1
2591891,40,0,0,0,1
2592756,40,0,0,0,1
2600187,40,0,0,0,1
2607306,40,0,0,0,1
2612097,40,0,0,0,1
2613765,40,0,0,0,1
2617121,40,0,0,0,1
2621906,40,0,0,1,1
2622188,40,0,0,0,1
2623005,40,0,0,0,1
2625664,40,0,0,0,1
2630836,40,0,0,0,1
2637188,40,0,0,0,1
2637696,40,0,0,0,1
2638202,40,0,0,0,1
2640919,40,0,0,0,1
2648724,40,0,0,0,1
