pda,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
uni1,485.0,1516.0,99.0,92.0,151.0,143.0,79.0,440.0,623.0,1.0,219.0,63.0,180.0,108.0,52.0,3.06962025316,164324.0,263.762439807
moh1,260.0,808.0,84.0,75.0,49.0,52.0,115.0,166.0,1358.0,9.0,93.0,109.0,442.0,432.0,273.0,1.13043478261,748517.0,551.190721649
sma3,120.0,317.0,20.0,21.0,30.0,49.0,6.0,117.0,4649.0,1.0,153.0,2170.0,954.0,694.0,677.0,10.0,2265120.0,487.227360723
vta1_l,83.0,228.0,3.0,5.0,6.0,69.0,43.0,44.0,778.0,1.0,38.0,34.0,262.0,318.0,125.0,0.96511627907,350941.0,451.080976864
sjo2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ber5,194.0,398.0,87.0,48.0,31.0,28.0,7.0,153.0,1659.0,0.0,33.0,182.0,228.0,1098.0,118.0,13.8571428571,837181.0,504.629897529
wcc1_f,124.0,352.0,32.0,47.0,30.0,15.0,111.0,19.0,792.0,2.0,231.0,72.0,88.0,286.0,113.0,0.558558558559,480646.0,606.876262626
ccg1_m,81.0,210.0,10.0,29.0,21.0,21.0,65.0,19.0,427.0,1.0,89.0,58.0,103.0,82.0,94.0,0.623076923077,372534.0,872.444964871
vta1_g,22.0,60.0,9.0,3.0,4.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0
ber4,21.0,34.0,10.0,8.0,2.0,1.0,4.0,14.0,904.0,0.0,33.0,187.0,99.0,435.0,150.0,2.625,446389.0,493.793141593
ccc3_b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
con1_b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roh1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dub2,496.0,1278.0,44.0,80.0,148.0,224.0,0.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
con1_a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
