TAZ,shrq1_2010,shrq2_2010,shrq3_2010,shrq4_2010,shrw0_2010,shrw1_2010,shrw2_2010,shrw3_2010,shra1_2010,shra2_2010,shra3_2010,shra4_2010,shrn_2010,shry_2010,qmn,qsd,wmn,wsd,amn,asd
700128,0.327384937,0.273807531,0.281736402,0.11707113,0.171129707,0.471401674,0.28874477,0.068723849,0.205925926,0.22962963,0.451851852,0.112592593,0.740983264,0.259016736," 54,405 "," 3,005,236 ", 1.27568 , 107 , 44 ," 8,017 "
700129,0.064787547,0.340086081,0.307692308,0.287434064,0.162658986,0.413152529,0.290171203,0.134017282,0.2236671,0.179453836,0.472041612,0.124837451,0.5302589,0.4697411," 76,820 "," 3,959,192 ", 1.43575 , 67 , 45 ," 4,919 "
700130,0.217580175,0.269752187,0.305510204,0.207157434,0.171122449,0.471399417,0.288746356,0.068731778,0.223585549,0.165644172,0.486707566,0.124062713,0.740976676,0.259023324," 65,738 "," 6,375,729 ", 1.27571 , 154 , 45 ," 9,810 "
700131,0.104803371,0.371179775,0.205252809,0.318764045,0.165641415,0.511305862,0.278812393,0.04424033,0.242740999,0.210220674,0.466898955,0.080139373,0.681432584,0.318567416," 74,541 "," 4,873,649 ", 1.21492 , 84 , 43 ," 5,396 "
700132,0.261417323,0.093910761,0.477165354,0.167506562,0.165643045,0.511312336,0.278818898,0.044225722,0.22614841,0.169611307,0.485276796,0.118963486,0.681417323,0.318582677," 67,259 "," 5,381,102 ", 1.21490 , 90 , 45 ," 5,634 "
700133,0.156311315,0.420852761,0.118230342,0.304605582,0.165636406,0.511318804,0.27880335,0.04424144,0.218274112,0.202199662,0.406091371,0.173434856,0.681434599,0.318565401," 68,817 "," 6,356,723 ", 1.21492 , 112 , 47 ," 6,750 "
700134,0.120260586,0.117100977,0.212019544,0.550618893,0.250513013,0.390313019,0.31419172,0.044982248,0.210666667,0.148,0.496,0.145333333,0.719185668,0.280814332," 92,862 "," 8,266,324 ", 1.16714 , 73 , 46 ," 5,257 "
700135,0.419569231,0.179815385,0.2776,0.123015385,0.280061538,0.402369231,0.213261538,0.104307692,0.214756258,0.204216074,0.415019763,0.166007905,0.679169231,0.320830769," 51,970 "," 2,052,298 ", 1.17311 , 56 , 46 ," 4,355 "
700136,0.040880618,0.156122935,0.472141837,0.33085461,0.280063001,0.402366214,0.213252262,0.104318523,0.260471204,0.231675393,0.421465969,0.086387435,0.679194139,0.320805861," 86,767 "," 4,930,232 ", 1.17312 , 47 , 43 ," 4,111 "
700137,0.40347079,0.270068729,0.251626575,0.074833906,0.312477806,0.403784694,0.189887628,0.093849872,0.185528757,0.324675325,0.312306741,0.177489177,0.668854525,0.331145475," 47,690 "," 4,546,233 ", 1.09326 , 141 , 44 ," 7,435 "
700138,0.498719647,0.145783664,0.235298013,0.120198675,0.312472406,0.403774834,0.189889625,0.093863135,0.326739927,0.293040293,0.332600733,0.047619048,0.668852097,0.331147903," 47,890 "," 2,328,937 ", 1.09330 , 73 , 41 ," 5,661 "
700139,0.492513661,0.301165756,0.053242259,0.153078324,0.312477231,0.403788707,0.18989071,0.093843352,0.32619339,0.256425949,0.296817625,0.120563035,0.668852459,0.331147541," 44,334 "," 3,143,553 ", 1.09325 , 89 , 46 ," 5,327 "
700140,0.588646409,0.252610497,0.13788674,0.020856354,0.312251381,0.350110497,0.242582873,0.095055249,0.243842365,0.318965517,0.330665025,0.106527094,0.619944751,0.380055249," 33,835 "," 2,545,786 ", 1.14896 , 129 , 42 ," 6,362 "
