jurisdiction,pda_id,tpp_id,exp_id,count,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,place_type,notes
53000,okd7,b3,,228,,,,,,,,,
53000,okd7,bart1,,1515,,,,,,,,,
53000,okd7,brt1,,912,,,,,,,,,
53000,okd7,brt3,,1915,,,,,,,,,
53000,okd7,,,1,,,,,,,,,
54232,ori1,bart3,,117,,,,,,,,,
54232,ori1,,,16,,,,,,,,,
55282,pal1,brt2,,528,,,,,,,,,
55282,pal1,brt3,,3,,,,,,,,,
56784,pet1,b3,,1,,,,,,,,,
00097,pet1,cr4,,10,,,,,,,,,
56784,pet1,cr4,,563,,,,,,,,,
00097,pet1,,,4,,,,,,,,,
56784,pet1,,,48,,,,,,,,,
57288,pin1,b2,,327,,,,,,,,,
57288,pin1,b3,,74,,,,,,,,,
57288,pin1,,,8,,,,,,,,,
57288,pin2,b2,,7,,,,,,,,,
57288,pin2,b3,,117,,,,,,,,,
57288,pin2,,,15,,,,,,,,,
57456,pit1,b2,,660,,,,,,,,,
57456,pit1,b3,,27,,,,,,,,,
57456,pit1,bart3,,1250,,,,,,,,,
57456,pit1,,,845,,,,,,,,,
00013,pit2,,,15,,,,,,,,,
57456,pit2,,,1637,,,,,,,,,
57792,ple1,b2,,731,,,,,,,,,
57792,ple1,b3,,2,,,,,,,,,
57792,ple1,bart3,,35,,,,,,,,,
57792,ple1,,,32,,,,,,,,,
57764,plh1,b2,,17,,,,,,,,,
57764,plh1,b3,,7,,,,,,,,,
57764,plh2,bart3,,15,,,,,,,,,
57764,plh2,,,451,,,,,,,,,
60620,ric1_a,b1,,194,,,,,,,,,
60620,ric1_a,b2,,1197,,,,,,,,,
60620,ric1_a,b3,,163,,,,,,,,,
60620,ric1_a,bart2,,1539,,,,,,,,,
60620,ric1_a,,,282,,,,,,,,,
60620,ric1_b,b2,,32,,,,,,,,,
60620,ric1_b,bart2,,55,,,,,,,,,
60620,ric1_b,,,137,,,,,,,,,
