juris,tothh,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
Antioch,32353.0,7534.0,9154.0,9318.0,6347.0,28560.0,6188.0,20175.0,24.0,1146.0,4382.0,3717.0,7464.0,3442.0,0.931075169794,16522623.0,818.965204461
Napa County,10181.0,2377.0,2748.0,2156.0,2900.0,11416.0,1057.0,20552.0,3213.0,6570.0,1174.0,2032.0,4150.0,3413.0,0.816243085064,15753114.0,766.500291942
San Francisco,347137.0,107867.0,91532.0,68767.0,78971.0,113242.0,263241.0,576851.0,504.0,32159.0,42567.0,184869.0,188194.0,128558.0,0.92205225734,417977010.0,724.584008695
San Mateo County,21423.0,3378.0,3984.0,4775.0,9286.0,20204.0,2506.0,20648.0,434.0,4273.0,931.0,5455.0,4912.0,4643.0,0.943328929987,13376384.0,647.829523441
Petaluma,21754.0,4990.0,5932.0,5989.0,4843.0,18315.0,4543.0,30019.0,343.0,6198.0,3934.0,6377.0,7639.0,5528.0,0.951701811182,21475718.0,715.404177354
Santa Rosa,63817.0,19421.0,20267.0,14357.0,9772.0,47263.0,20622.0,76417.0,484.0,10377.0,8817.0,13443.0,26487.0,16809.0,0.940075127053,49839174.0,652.200086368
Rohnert Park,15013.0,4108.0,4585.0,3994.0,2326.0,9617.0,6248.0,12060.0,69.0,1636.0,1837.0,2723.0,3335.0,2460.0,0.946296879924,10388030.0,861.362354892
Marin County,27437.0,5864.0,5933.0,5348.0,10292.0,23832.0,6534.0,17483.0,328.0,651.0,1490.0,3623.0,7509.0,3882.0,0.903543436738,9473723.0,541.881999657
Richmond,36676.0,13646.0,12130.0,7208.0,3692.0,24617.0,14702.0,30755.0,168.0,6733.0,3827.0,5301.0,6840.0,7886.0,0.932780589537,31574894.0,1026.65888473
Pittsburg,19419.0,6061.0,6125.0,4820.0,2413.0,15512.0,5493.0,11795.0,14.0,1415.0,1730.0,1487.0,4286.0,2863.0,0.924494168055,11463401.0,971.886477321
Orinda,6511.0,732.0,854.0,1092.0,3833.0,6496.0,307.0,4851.0,19.0,178.0,381.0,1940.0,1664.0,669.0,0.957077759812,9541535.0,1966.92125335
Alameda,30088.0,8973.0,8895.0,6573.0,5647.0,15115.0,15324.0,29238.0,5.0,3405.0,1810.0,5307.0,7808.0,10903.0,0.98846874076,21311873.0,728.910082769
Napa,28075.0,8155.0,8673.0,6440.0,4807.0,22500.0,7703.0,33978.0,398.0,4178.0,3686.0,5453.0,13598.0,6665.0,0.929543422839,24449494.0,719.568367767
Hercules,8323.0,1455.0,2157.0,2605.0,2106.0,7286.0,1539.0,4856.0,0.0,1848.0,374.0,778.0,1109.0,747.0,0.943116147309,2906385.0,598.514209226
Newark,12905.0,2555.0,3467.0,3784.0,3099.0,9751.0,2731.0,17341.0,19.0,4137.0,3342.0,3628.0,3736.0,2479.0,1.03388879987,19671055.0,1134.36681852
Alameda County,50039.0,13642.0,14961.0,12057.0,9379.0,38431.0,12475.0,28857.0,84.0,2829.0,1944.0,6155.0,10957.0,6888.0,0.982968608808,22042090.0,763.838583359
Martinez,14254.0,3328.0,3906.0,3757.0,3263.0,11507.0,3486.0,20762.0,9.0,2932.0,1142.0,2416.0,3187.0,11076.0,0.950710331488,12132089.0,584.341055775
Danville,15316.0,1638.0,2046.0,3185.0,8447.0,15109.0,848.0,11815.0,26.0,840.0,1342.0,4005.0,3662.0,1940.0,0.959829541894,5934921.0,502.320863309
Healdsburg,4406.0,1379.0,1480.0,913.0,634.0,3818.0,1112.0,8388.0,187.0,1755.0,946.0,954.0,2058.0,2488.0,0.893711967546,6016537.0,717.279089175
Concord,44980.0,12898.0,13291.0,10917.0,7874.0,30695.0,16850.0,54168.0,85.0,5918.0,7064.0,12750.0,17588.0,10763.0,0.946051109475,37455649.0,691.471883769
Sunnyvale,52585.0,14000.0,13014.0,12588.0,12983.0,26496.0,29299.0,65779.0,51.0,21558.0,5992.0,15674.0,12289.0,10215.0,0.942467963079,53932422.0,819.903343012
Clayton,3951.0,570.0,692.0,1051.0,1638.0,4054.0,17.0,1989.0,4.0,72.0,121.0,417.0,1029.0,346.0,0.97052321297,889050.0,446.983408748
Daly City,30702.0,6057.0,7902.0,9108.0,7635.0,21237.0,11025.0,18375.0,24.0,1272.0,3312.0,3482.0,8104.0,2181.0,0.9516458992,10633811.0,578.710802721
Rio Vista,3733.0,1355.0,1321.0,616.0,441.0,3198.0,94.0,2330.0,404.0,438.0,251.0,184.0,440.0,613.0,1.13396111786,1295414.0,555.97167382
Oakland,157244.0,67264.0,45314.0,24498.0,20168.0,84638.0,77421.0,179079.0,279.0,20367.0,10086.0,32165.0,59782.0,56400.0,0.970288598597,138765223.0,774.882722151
Lafayette,9184.0,1352.0,1636.0,2001.0,4195.0,8013.0,1582.0,9032.0,14.0,981.0,711.0,2709.0,3253.0,1364.0,0.957165190203,4820628.0,533.727635075
San Pablo,8946.0,3837.0,2895.0,1616.0,598.0,4733.0,4786.0,7410.0,19.0,485.0,757.0,909.0,4074.0,1166.0,0.939804601324,5066512.0,683.739811066
