zone_id,AGREMPN,OTHEMPN,MWTEMPN,FPSEMPN,RETEMPN,HEREMPN
371,0.005,0.095,0.095,0.095,0.095,0.095
372,0.005,0.095,0.095,0.095,0.095,0.095
373,0.005,0.095,0.095,0.095,0.095,0.095
374,0.005,0.095,0.095,0.095,0.095,0.095
375,0.005,0.095,0.095,0.095,0.095,0.095
376,0.005,0.095,0.095,0.095,0.095,0.095
377,0.005,0.095,0.095,0.095,0.095,0.095
378,0.005,0.095,0.095,0.095,0.095,0.095
379,0.005,0.095,0.095,0.095,0.095,0.095
380,0.005,0.095,0.095,0.095,0.095,0.095
381,0.005,0.095,0.095,0.095,0.095,0.095
382,0.005,0.095,0.095,0.095,0.095,0.095
383,0.005,0.095,0.095,0.095,0.095,0.095
384,0.005,0.095,0.095,0.095,0.095,0.095
385,0.005,0.095,0.095,0.095,0.095,0.095
386,0.005,0.095,0.095,0.095,0.095,0.095
387,0.005,0.095,0.095,0.095,0.095,0.095
388,0.005,0.095,0.095,0.095,0.095,0.095
389,0.005,0.095,0.095,0.095,0.095,0.095
390,0.005,0.095,0.095,0.095,0.095,0.095
391,0.005,0.095,0.095,0.095,0.095,0.095
392,0.005,0.095,0.095,0.095,0.095,0.095
393,0.005,0.095,0.095,0.095,0.095,0.095
394,0.005,0.095,0.095,0.095,0.095,0.095
395,0.005,0.095,0.095,0.095,0.095,0.095
396,0.005,0.095,0.095,0.095,0.095,0.095
397,0.005,0.095,0.095,0.095,0.095,0.095
398,0.005,0.095,0.095,0.095,0.095,0.095
399,0.005,0.095,0.095,0.095,0.095,0.095
400,0.005,0.095,0.095,0.095,0.095,0.095
401,0.005,0.095,0.095,0.095,0.095,0.095
402,0.005,0.095,0.095,0.095,0.095,0.095
403,0.005,0.095,0.095,0.095,0.095,0.095
404,0.005,0.095,0.095,0.095,0.095,0.095
405,0.005,0.095,0.095,0.095,0.095,0.095
406,0.005,0.095,0.095,0.095,0.095,0.095
407,0.005,0.095,0.095,0.095,0.095,0.095
408,0.005,0.095,0.095,0.095,0.095,0.095
409,0.005,0.095,0.095,0.095,0.095,0.095
410,0.005,0.095,0.095,0.095,0.095,0.095
411,0.005,0.095,0.095,0.095,0.095,0.095
412,0.005,0.095,0.095,0.095,0.095,0.095
413,0.005,0.095,0.095,0.095,0.095,0.095
414,0.005,0.095,0.095,0.095,0.095,0.095
415,0.005,0.095,0.095,0.095,0.095,0.095
416,0.005,0.095,0.095,0.095,0.095,0.095
417,0.005,0.095,0.095,0.095,0.095,0.095
418,0.005,0.095,0.095,0.095,0.095,0.095
419,0.005,0.095,0.095,0.095,0.095,0.095
420,0.005,0.095,0.095,0.095,0.095,0.095
421,0.005,0.095,0.095,0.095,0.095,0.095
422,0.005,0.095,0.095,0.095,0.095,0.095
423,0.005,0.095,0.095,0.095,0.095,0.095
424,0.005,0.095,0.095,0.095,0.095,0.095
425,0.005,0.095,0.095,0.095,0.095,0.095
426,0.005,0.095,0.095,0.095,0.095,0.095
427,0.005,0.095,0.095,0.095,0.095,0.095
428,0.005,0.095,0.095,0.095,0.095,0.095
429,0.005,0.095,0.095,0.095,0.095,0.095
430,0.005,0.095,0.095,0.095,0.095,0.095
431,0.005,0.095,0.095,0.095,0.095,0.095
432,0.005,0.095,0.095,0.095,0.095,0.095
433,0.005,0.095,0.095,0.095,0.095,0.095
434,0.005,0.095,0.095,0.095,0.095,0.095
435,0.005,0.095,0.095,0.095,0.095,0.095
436,0.005,0.095,0.095,0.095,0.095,0.095
437,0.005,0.095,0.095,0.095,0.095,0.095
438,0.005,0.095,0.095,0.095,0.095,0.095
439,0.005,0.095,0.095,0.095,0.095,0.095
440,0.005,0.095,0.095,0.095,0.095,0.095
441,0.005,0.095,0.095,0.095,0.095,0.095
442,0.005,0.095,0.095,0.095,0.095,0.095
443,0.005,0.095,0.095,0.095,0.095,0.095
444,0.005,0.095,0.095,0.095,0.095,0.095
445,0.005,0.095,0.095,0.095,0.095,0.095
446,0.005,0.095,0.095,0.095,0.095,0.095
447,0.005,0.095,0.095,0.095,0.095,0.095
448,0.005,0.095,0.095,0.095,0.095,0.095
449,0.005,0.095,0.095,0.095,0.095,0.095
450,0.005,0.095,0.095,0.095,0.095,0.095
451,0.005,0.095,0.095,0.095,0.095,0.095
452,0.005,0.095,0.095,0.095,0.095,0.095
453,0.005,0.095,0.095,0.095,0.095,0.095
454,0.005,0.095,0.095,0.095,0.095,0.095
455,0.005,0.095,0.095,0.095,0.095,0.095
456,0.005,0.095,0.095,0.095,0.095,0.095
457,0.005,0.095,0.095,0.095,0.095,0.095
458,0.005,0.095,0.095,0.095,0.095,0.095
459,0.005,0.095,0.095,0.095,0.095,0.095
460,0.005,0.095,0.095,0.095,0.095,0.095
461,0.005,0.095,0.095,0.095,0.095,0.095
462,0.005,0.095,0.095,0.095,0.095,0.095
463,0.005,0.095,0.095,0.095,0.095,0.095
464,0.005,0.095,0.095,0.095,0.095,0.095
465,0.005,0.095,0.095,0.095,0.095,0.095
466,0.005,0.095,0.095,0.095,0.095,0.095
467,0.005,0.095,0.095,0.095,0.095,0.095
468,0.005,0.095,0.095,0.095,0.095,0.095
469,0.005,0.095,0.095,0.095,0.095,0.095
470,0.005,0.095,0.095,0.095,0.095,0.095
471,0.005,0.095,0.095,0.095,0.095,0.095
472,0.005,0.095,0.095,0.095,0.095,0.095
473,0.005,0.095,0.095,0.095,0.095,0.095
474,0.005,0.095,0.095,0.095,0.095,0.095
475,0.005,0.095,0.095,0.095,0.095,0.095
476,0.005,0.095,0.095,0.095,0.095,0.095
477,0.005,0.095,0.095,0.095,0.095,0.095
478,0.005,0.095,0.095,0.095,0.095,0.095
479,0.005,0.095,0.095,0.095,0.095,0.095
480,0.005,0.095,0.095,0.095,0.095,0.095
481,0.005,0.095,0.095,0.095,0.095,0.095
482,0.005,0.095,0.095,0.095,0.095,0.095
483,0.005,0.095,0.095,0.095,0.095,0.095
484,0.005,0.095,0.095,0.095,0.095,0.095
485,0.005,0.095,0.095,0.095,0.095,0.095
486,0.005,0.095,0.095,0.095,0.095,0.095
487,0.005,0.095,0.095,0.095,0.095,0.095
488,0.005,0.095,0.095,0.095,0.095,0.095
489,0.005,0.095,0.095,0.095,0.095,0.095
490,0.005,0.095,0.095,0.095,0.095,0.095
491,0.005,0.095,0.095,0.095,0.095,0.095
492,0.005,0.095,0.095,0.095,0.095,0.095
493,0.005,0.095,0.095,0.095,0.095,0.095
494,0.005,0.095,0.095,0.095,0.095,0.095
495,0.005,0.095,0.095,0.095,0.095,0.095
496,0.005,0.095,0.095,0.095,0.095,0.095
497,0.005,0.095,0.095,0.095,0.095,0.095
498,0.005,0.095,0.095,0.095,0.095,0.095
499,0.005,0.095,0.095,0.095,0.095,0.095
